Season,TeamID,TeamName,Gender,FinalElo,PeakElo,EloVsPeakDiff,SeasonEndRegressed
1998,3102,Air Force,W,1178.72,1517.63,-338.91,1259.04
1998,3103,Akron,W,1408.85,1528.12,-119.27,1431.64
1998,3104,Alabama,W,1838.91,1855.17,-16.26,1754.18
1998,3106,Alabama St,W,1273.64,1542.76,-269.12,1330.23
1998,3108,Alcorn St,W,1526.43,1560.74,-34.31,1519.82
1998,3110,American Univ,W,1665.03,1740.06,-75.03,1623.77
1998,3111,Appalachian St,W,1375.51,1469.29,-93.78,1406.63
1998,3112,Arizona,W,1787.34,1787.34,0.0,1715.5
1998,3113,Arizona St,W,1335.68,1520.4,-184.72,1376.76
1998,3116,Arkansas,W,1745.08,1745.08,0.0,1683.81
1998,3117,Arkansas St,W,1605.66,1662.92,-57.26,1579.24
1998,3119,Army,W,1296.37,1549.88,-253.51,1347.28
1998,3120,Auburn,W,1632.86,1771.17,-138.31,1599.64
1998,3122,Austin Peay,W,1398.3,1526.91,-128.61,1423.72
1998,3123,Ball St,W,1330.6,1544.64,-214.04,1372.95
1998,3124,Baylor,W,1557.05,1655.85,-98.8,1542.79
1998,3126,Bethune-Cookman,W,1302.78,1473.97,-171.19,1352.08
1998,3129,Boise St,W,1647.14,1667.9,-20.76,1610.36
1998,3130,Boston College,W,1603.91,1661.94,-58.03,1577.93
1998,3131,Boston Univ,W,1403.1,1522.61,-119.51,1427.32
1998,3132,Bowling Green,W,1628.62,1708.96,-80.34,1596.46
1998,3133,Bradley,W,1331.99,1564.62,-232.63,1373.99
1998,3135,Brown,W,1381.68,1476.28,-94.6,1411.26
1998,3137,Bucknell,W,1414.51,1593.96,-179.45,1435.88
1998,3138,Buffalo,W,1527.25,1561.65,-34.4,1520.44
1998,3139,Butler,W,1740.6,1778.25,-37.65,1680.45
1998,3140,BYU,W,1571.89,1575.75,-3.86,1553.92
1998,3141,C Michigan,W,1403.02,1556.3,-153.28,1427.26
1998,3142,Cal Poly,W,1259.16,1527.0,-267.84,1319.37
1998,3143,California,W,1261.97,1547.51,-285.54,1321.48
1998,3144,Campbell,W,1524.71,1646.4,-121.69,1518.53
1998,3145,Canisius,W,1162.88,1483.0,-320.12,1247.16
1998,3148,Central Conn,W,1540.59,1615.17,-74.58,1530.44
1998,3149,Charleston So,W,1403.98,1496.58,-92.6,1427.98
1998,3150,Charlotte,W,1425.89,1555.18,-129.29,1444.42
1998,3151,Chattanooga,W,1228.67,1601.16,-372.49,1296.5
1998,3152,Chicago St,W,1130.45,1482.0,-351.55,1222.84
1998,3153,Cincinnati,W,1735.22,1742.56,-7.34,1676.42
1998,3155,Clemson,W,1677.99,1734.36,-56.37,1633.49
1998,3156,Cleveland St,W,1473.49,1518.3,-44.81,1480.12
1998,3157,Coastal Car,W,1279.67,1504.77,-225.1,1334.75
1998,3158,Col Charleston,W,1322.21,1534.0,-211.79,1366.66
1998,3159,Colgate,W,1312.18,1500.41,-188.23,1359.14
1998,3160,Colorado,W,1455.47,1608.94,-153.47,1466.6
1998,3161,Colorado St,W,1717.9,1747.43,-29.53,1663.43
1998,3162,Columbia,W,1211.36,1526.6,-315.24,1283.52
1998,3163,Connecticut,W,1918.05,1931.13,-13.08,1813.54
1998,3164,Coppin St,W,1390.34,1556.89,-166.55,1417.76
1998,3165,Cornell,W,1252.52,1495.99,-243.47,1314.39
1998,3166,Creighton,W,1582.15,1635.03,-52.88,1561.61
1998,3168,CS Fullerton,W,1391.44,1519.0,-127.56,1418.58
1998,3169,CS Northridge,W,1435.08,1527.0,-91.92,1451.31
1998,3170,CS Sacramento,W,1304.33,1523.0,-218.67,1353.25
1998,3171,Dartmouth,W,1554.49,1560.34,-5.85,1540.87
1998,3172,Davidson,W,1623.26,1641.28,-18.02,1592.44
1998,3173,Dayton,W,1433.03,1516.4,-83.37,1449.77
1998,3174,Delaware,W,1271.25,1537.65,-266.4,1328.44
1998,3175,Delaware St,W,1269.81,1477.0,-207.19,1327.36
1998,3177,DePaul,W,1475.16,1534.66,-59.5,1481.37
1998,3178,Detroit,W,1458.86,1521.15,-62.29,1469.14
1998,3179,Drake,W,1839.9,1882.08,-42.18,1754.93
1998,3180,Drexel,W,1430.58,1521.77,-91.19,1447.94
1998,3181,Duke,W,1795.74,1805.67,-9.93,1721.8
1998,3182,Duquesne,W,1629.58,1740.98,-111.4,1597.18
1998,3183,E Illinois,W,1460.77,1556.12,-95.35,1470.58
1998,3184,E Kentucky,W,1618.32,1698.01,-79.69,1588.74
1998,3185,E Michigan,W,1321.21,1535.02,-213.81,1365.91
1998,3186,E Washington,W,1179.87,1515.21,-335.34,1259.9
1998,3187,East Carolina,W,1418.28,1527.08,-108.8,1438.71
1998,3190,ETSU,W,1447.87,1483.85,-35.98,1460.9
1998,3191,Evansville,W,1316.37,1572.35,-255.98,1362.28
1998,3192,F Dickinson,W,1292.93,1471.0,-178.07,1344.7
1998,3193,Fairfield,W,1661.01,1677.18,-16.17,1620.76
1998,3194,FL Atlantic,W,1462.84,1547.12,-84.28,1472.13
1998,3196,Florida,W,1761.32,1796.05,-34.73,1695.99
1998,3197,Florida A&M,W,1608.1,1625.94,-17.84,1581.07
1998,3198,Florida Intl,W,1869.46,1890.33,-20.87,1777.1
1998,3199,Florida St,W,1394.98,1538.54,-143.56,1421.24
1998,3200,Fordham,W,1296.48,1480.0,-183.52,1347.36
1998,3201,Fresno St,W,1458.04,1515.55,-57.51,1468.53
1998,3202,Furman,W,1523.06,1552.02,-28.96,1517.3
1998,3203,G Washington,W,1696.0,1727.19,-31.19,1647.0
1998,3204,Ga Southern,W,1575.12,1609.07,-33.95,1556.34
1998,3206,George Mason,W,1550.03,1594.98,-44.95,1537.52
1998,3207,Georgetown,W,1417.35,1543.0,-125.65,1438.01
1998,3208,Georgia,W,1659.97,1709.11,-49.14,1619.98
1998,3209,Georgia St,W,1595.06,1595.81,-0.75,1571.3
1998,3210,Georgia Tech,W,1383.26,1606.69,-223.43,1412.44
1998,3211,Gonzaga,W,1357.13,1559.7,-202.57,1392.85
1998,3212,Grambling,W,1669.37,1683.78,-14.41,1627.03
1998,3214,Hampton,W,1665.68,1693.97,-28.29,1624.26
1998,3216,Hartford,W,1376.41,1478.0,-101.59,1407.31
1998,3217,Harvard,W,1707.84,1739.42,-31.58,1655.88
1998,3218,Hawaii,W,1740.7,1830.59,-89.89,1680.52
1998,3220,Hofstra,W,1452.89,1619.35,-166.46,1464.67
1998,3221,Holy Cross,W,1714.71,1743.02,-28.31,1661.03
1998,3222,Houston,W,1401.55,1522.0,-120.45,1426.16
1998,3224,Howard,W,1675.93,1696.81,-20.88,1631.95
1998,3225,Idaho,W,1511.75,1534.72,-22.97,1508.81
1998,3226,Idaho St,W,1501.31,1576.15,-74.84,1500.98
1998,3227,IL Chicago,W,1272.0,1463.0,-191.0,1329.0
1998,3228,Illinois,W,1696.59,1727.71,-31.12,1647.44
1998,3229,Illinois St,W,1477.15,1503.57,-26.42,1482.86
1998,3231,Indiana,W,1648.32,1676.73,-28.41,1611.24
1998,3232,Indiana St,W,1594.31,1638.47,-44.16,1570.73
1998,3233,Iona,W,1417.86,1496.78,-78.92,1438.4
1998,3234,Iowa,W,1657.81,1682.57,-24.76,1618.36
1998,3235,Iowa St,W,1732.75,1783.37,-50.62,1674.56
1998,3238,Jackson St,W,1597.35,1604.38,-7.03,1573.01
1998,3240,Jacksonville St,W,1484.05,1615.24,-131.19,1488.04
1998,3241,James Madison,W,1589.38,1610.18,-20.8,1567.04
1998,3242,Kansas,W,1712.02,1733.05,-21.03,1659.02
1998,3243,Kansas St,W,1428.18,1617.55,-189.37,1446.14
1998,3245,Kent,W,1791.49,1814.2,-22.71,1718.62
1998,3246,Kentucky,W,1483.21,1625.63,-142.42,1487.41
1998,3247,La Salle,W,1597.99,1597.99,0.0,1573.49
1998,3248,Lafayette,W,1500.73,1529.0,-28.27,1500.55
1998,3249,Lamar,W,1194.57,1467.29,-272.72,1270.93
1998,3250,Lehigh,W,1425.97,1537.42,-111.45,1444.48
1998,3251,Liberty,W,1787.89,1799.1,-11.21,1715.92
1998,3253,Long Beach St,W,1272.6,1527.86,-255.26,1329.45
1998,3254,LIU Brooklyn,W,1218.18,1461.35,-243.17,1288.64
1998,3256,Louisiana Tech,W,1911.6,1911.6,0.0,1808.7
1998,3257,Louisville,W,1743.75,1743.75,0.0,1682.81
1998,3258,Loy Marymount,W,1200.07,1499.06,-298.99,1275.05
1998,3259,Loyola MD,W,1633.46,1641.72,-8.26,1600.1
1998,3260,Loyola-Chicago,W,1287.19,1498.92,-211.73,1340.39
1998,3261,LSU,W,1606.19,1682.33,-76.14,1579.64
1998,3263,Maine,W,1664.22,1705.08,-40.86,1623.16
1998,3264,Manhattan,W,1386.81,1554.9,-168.09,1415.11
1998,3265,Marist,W,1228.48,1479.18,-250.7,1296.36
1998,3266,Marquette,W,1693.87,1753.57,-59.7,1645.4
1998,3267,Marshall,W,1289.57,1478.0,-188.43,1342.18
1998,3268,Maryland,W,1595.89,1607.37,-11.48,1571.92
1998,3269,Massachusetts,W,1646.85,1699.13,-52.28,1610.14
1998,3270,McNeese St,W,1409.28,1551.07,-141.79,1431.96
1998,3271,MD E Shore,W,1548.88,1577.59,-28.71,1536.66
1998,3272,Memphis,W,1763.29,1801.46,-38.17,1697.47
1998,3273,Mercer,W,1409.55,1477.0,-67.45,1432.16
1998,3274,Miami FL,W,1644.09,1686.12,-42.03,1608.07
1998,3275,Miami OH,W,1497.91,1523.84,-25.93,1498.43
1998,3276,Michigan,W,1609.66,1672.22,-62.56,1582.24
1998,3277,Michigan St,W,1440.46,1550.2,-109.74,1455.34
1998,3278,Minnesota,W,1247.71,1478.0,-230.29,1310.78
1998,3279,Mississippi,W,1510.24,1522.24,-12.0,1507.68
1998,3280,Mississippi St,W,1546.46,1582.38,-35.92,1534.84
1998,3281,Missouri,W,1395.92,1611.27,-215.35,1421.94
1998,3282,Missouri KC,W,1358.69,1457.0,-98.31,1394.02
1998,3283,Missouri St,W,1743.11,1807.0,-63.89,1682.33
1998,3284,Monmouth NJ,W,1333.83,1520.0,-186.17,1375.37
1998,3285,Montana,W,1707.63,1739.0,-31.37,1655.72
1998,3286,Montana St,W,1439.69,1515.53,-75.84,1454.77
1998,3287,Morehead St,W,1280.72,1503.72,-223.0,1335.54
1998,3288,Morgan St,W,1315.81,1478.8,-162.99,1361.86
1998,3290,MS Valley St,W,1459.62,1529.41,-69.79,1469.72
1998,3291,Mt St Mary's,W,1465.33,1563.42,-98.09,1474.0
1998,3292,MTSU,W,1569.49,1578.58,-9.09,1552.12
1998,3293,Murray St,W,1295.82,1469.39,-173.57,1346.86
1998,3296,N Illinois,W,1222.51,1481.26,-258.75,1291.88
1998,3298,Navy,W,1679.11,1707.25,-28.14,1634.33
1998,3299,NC A&T,W,1229.66,1479.2,-249.54,1297.25
1998,3301,NC State,W,1825.13,1825.13,0.0,1743.85
1998,3304,Nebraska,W,1734.67,1749.46,-14.79,1676.0
1998,3305,Nevada,W,1582.0,1633.06,-51.06,1561.5
1998,3306,New Hampshire,W,1527.48,1577.57,-50.09,1520.61
1998,3307,New Mexico,W,1799.13,1852.87,-53.74,1724.35
1998,3308,New Mexico St,W,1315.52,1538.0,-222.48,1361.64
1998,3309,New Orleans,W,1396.71,1516.74,-120.03,1422.53
1998,3310,Niagara,W,1426.67,1543.25,-116.58,1445.0
1998,3311,Nicholls St,W,1324.45,1506.41,-181.96,1368.34
1998,3313,Norfolk St,W,1319.06,1471.0,-151.94,1364.3
1998,3314,North Carolina,W,1865.69,1865.69,0.0,1774.27
1998,3317,North Texas,W,1340.72,1514.55,-173.83,1380.54
1998,3318,Northeastern,W,1570.95,1590.14,-19.19,1553.21
1998,3319,Northern Arizona,W,1738.3,1741.64,-3.34,1678.72
1998,3320,Northern Iowa,W,1500.46,1611.14,-110.68,1500.34
1998,3321,Northwestern,W,1397.67,1519.0,-121.33,1423.25
1998,3322,Northwestern LA,W,1562.79,1583.64,-20.85,1547.09
1998,3323,Notre Dame,W,1788.73,1788.73,0.0,1716.55
1998,3325,Ohio,W,1629.71,1654.65,-24.94,1597.28
